#####################################################################
# Alchemist log file - simulation started at: 2019-02-25T20:04+0000 #
#####################################################################
# seed = 45.0
#
# The columns have the following meaning: 
# time distance-rep[Mean] distance-rep[Max] leader-rep[CountDistinct] distance-share[Mean] distance-share[Max] leader-share[CountDistinct] 
444.00156883505 1.4484870036998727 99.53881858317175 18.0 0.0 0.0 16.0 
445.00119332529823 1.311719597151025 99.53881858317175 17.0 0.0 0.0 16.0 
446.0024990733825 1.6668673650337202 99.53881858317175 17.0 0.0 0.0 16.0 
447.0001046685828 1.550174880019882 94.19127343900698 17.0 0.0 0.0 15.0 
448.00331943509275 1.1283545984891832 94.4698106274468 17.0 0.0 0.0 15.0 
449.00350876928667 0.6008691243825055 92.17682272555948 18.0 0.0 0.0 14.0 
450.00112280851397 0.46980820365395753 94.4698106274468 19.0 0.0 0.0 14.0 
451.0030747039996 0.704559755174395 89.9095716282859 19.0 0.0 0.0 14.0 
452.00033791596684 0.864564628600085 94.24525090880809 19.0 0.0 0.0 14.0 
453.00482496566724 0.08546321173732638 38.06985221787443 19.0 0.0 0.0 14.0 
454.0022102592065 0.17923510196426298 51.54769876425718 19.0 0.0 0.0 14.0 
455.0025166625447 0.0761397044357488 38.06985221787443 19.0 0.0 0.0 15.0 
456.00099695561795 0.20567636066864275 57.33450748920171 19.0 0.0 0.0 15.0 
457.0036405741793 0.11043834176411342 51.284632044580405 20.0 0.0 0.0 15.0 
458.0005266789062 0.22510735674251614 57.33450748920171 19.0 0.0 0.0 15.0 
459.00052197416625 0.1025692640891605 51.284632044580405 19.0 0.0 0.0 15.0 
460.0025166625447 0.2023846172319065 51.284632044580405 18.0 0.0 0.0 15.0 
461.0005314002141 0.009273374055237003 4.636687027618478 18.0 0.0 0.0 15.0 
462.00185992853494 0.38311743133811715 68.27837420512935 18.0 0.0 0.0 15.0 
463.0042153329177 0.11063337838825224 55.09362678383795 18.0 0.0 0.0 15.0 
464.00347032589195 0.22268436658835059 63.550027652473204 18.0 0.0 0.0 15.0 
465.0000434096771 0.10315567843333315 47.569093231414314 18.0 0.0 0.0 15.0 
466.0005605283947 0.26698400789633675 66.6911519571986 18.0 0.0 0.0 15.0 
467.00313569820275 0.27783042523693674 66.6911519571986 18.0 0.0 0.0 15.0 
468.0003111609514 0.14802791113886282 52.99230190171389 18.0 0.0 0.0 15.0 
469.0001353903818 0.13301765908012905 45.48717587234671 18.0 0.0 0.0 15.0 
470.00031655397424 0.2613030892906727 59.152847781898686 18.0 0.0 0.0 15.0 
471.00030535803296 0.29111832235621626 64.69593723287898 18.0 0.0 0.0 16.0 
472.0017890887748 0.31380304861455416 64.69593723287898 18.0 0.0 0.0 16.0 
473.00154294936067 0.3171713976258406 64.69593723287898 18.0 0.0 0.0 16.0 
474.00132725368036 0.30292974015517726 64.69593723287898 18.0 0.0 0.0 16.0 
475.0020323576601 0.18579662682710668 43.94467832864848 18.0 0.0 0.0 16.0 
476.0002631727793 0.3232341443041187 57.20761127436856 18.0 0.0 0.0 16.0 
477.0008749837578 0.3856048627857663 62.80253967329463 18.0 0.0 0.0 16.0 
478.00416836086265 0.3986001585566613 62.80253967329463 19.0 0.0 0.0 16.0 
479.0075505676356 0.391199337998863 62.80253967329463 20.0 0.0 0.0 17.0 
480.0025166625447 0.37627589542536405 55.34081838654535 19.0 0.0 0.0 18.0 
481.00149392783374 0.42984290430223826 60.3626213714561 19.0 0.0 0.0 18.0 
482.00071098230256 0.5722457165935241 68.04222824788116 19.0 0.0 0.0 18.0 
483.00034395532634 0.5731835861801879 68.04222824788116 19.0 0.0 0.0 18.0 
484.0027997912262 0.4306186867677039 60.3626213714561 19.0 0.0 0.0 17.0 
485.0025166625447 0.41684080837461923 53.4736821749141 18.0 0.0 0.0 17.0 
486.0023904349801 0.44826391427856016 58.27960362504518 18.0 0.0 0.0 17.0 
487.0036405741793 0.5919181629266581 65.33888134289992 18.0 0.0 0.0 17.0 
488.001131555098 0.4707403882722371 58.27960362504518 17.0 0.0 0.0 17.0 
489.00240220455515 0.4577336134649683 58.27960362504518 17.0 0.0 0.0 17.0 
490.0004990068229 0.3313635841300504 58.208190977261154 17.0 0.0 0.0 17.0 
491.00299126736076 0.2541021088479944 56.61395174717893 17.0 0.0 0.0 18.0 
492.0018900468503 0.25375290814242124 56.61395174717893 17.0 0.0 0.0 18.0 
493.0002753457546 0.3728608430779968 58.40335866151656 16.0 0.0 0.0 19.0 
494.0013070926455 0.13111066396796167 39.03365066648993 16.0 0.0 0.0 18.0 
495.0017621949133 0.13111066396796167 39.03365066648993 16.0 0.0 0.0 17.0 
496.0000105467661 0.28004423995479644 50.14745031903797 16.0 0.0 0.0 17.0 
497.0004128723495 0.3070843746985926 55.2763429715624 16.0 0.0 0.0 17.0 
498.00010003889815 0.1963556990167149 44.18448918928178 16.0 0.0 0.0 17.0 
499.0050326480345 0.29155758180480695 55.2763429715624 16.0 0.0 0.0 17.0 
500.0025166625447 0.28093948828350546 48.986276262672476 16.0 0.0 0.0 17.0 
501.00136293076895 0.34749865964632193 54.319652454680494 17.0 0.0 0.0 17.0 
502.00334955504303 0.4960139086547362 60.63344221012261 18.0 0.0 0.0 16.0 
503.0005000021041 0.5064768090085218 60.63344221012261 18.0 0.0 0.0 16.0 
504.00086741621266 0.3811127072651484 54.319652454680494 18.0 0.0 0.0 16.0 
505.00030013626946 0.5370130333661651 60.63344221012261 18.0 0.0 0.0 16.0 
